"Time (s)","Rotation x (rad/s)","Rotation y (rad/s)","Rotation z (rad/s)"
4.719202460E0,9.319238663E-1,-1.108764172E0,1.152745128E0
4.738117199E0,9.355889559E-1,-1.018358707E0,1.129532933E0
4.757031939E0,9.361997843E-1,-9.181798100E-1,1.092882156E0
4.775946678E0,9.423082471E-1,-8.137248755E-1,1.058063865E0
4.794861418E0,9.520817995E-1,-7.043832541E-1,1.020191312E0
4.813776158E0,9.594119787E-1,-5.877113938E-1,9.749885798E-1
4.832690897E0,9.612445235E-1,-4.679853618E-1,9.261208177E-1
4.851605637E0,9.563577175E-1,-3.476484418E-1,8.765658140E-1
4.870520324E0,9.392540455E-1,-2.285332382E-1,8.276980519E-1
4.889435064E0,9.068791270E-1,-1.100288630E-1,7.788302302E-1
4.908349803E0,8.592330217E-1,6.108472589E-3,7.287407517E-1
4.927264543E0,8.005917072E-1,1.185043678E-1,6.804838181E-1
4.946179283E0,7.303442359E-1,2.272351831E-1,6.328377724E-1
4.965094022E0,6.533774734E-1,3.341334462E-1,5.833591223E-1
4.984008762E0,5.733565092E-1,4.391991794E-1,5.296045542E-1
5.002923449E0,4.939463735E-1,5.418215394E-1,4.734066129E-1
5.021838189E0,4.175904691E-1,6.413896084E-1,4.123218954E-1
5.040752928E0,3.479538560E-1,7.372926474E-1,3.445178568E-1
5.059667668E0,2.850365937E-1,8.307522535E-1,2.724378705E-1
5.078582408E0,2.294494957E-1,9.217684865E-1,1.948602796E-1
5.097497147E0,1.793600321E-1,1.009730577E0,1.123958975E-1
5.116411887E0,1.335464865E-1,1.093416572E0,2.626643144E-2
5.135326626E0,9.017632902E-2,1.172826767E0,-6.352811307E-2
5.154241366E0,4.741701856E-2,1.247350097E0,-1.557660550E-1
5.173156106E0,4.046862945E-3,1.315154195E0,-2.504473627E-1
5.192070793E0,-3.993413970E-2,1.376849771E0,-3.457395434E-1
5.210985533E0,-8.452598751E-2,1.431825995E0,-4.422534108E-1
5.229900272E0,-1.303395331E-1,1.478250384E0,-5.375455618E-1
5.248815012E0,-1.718771458E-1,1.517344594E0,-6.322268844E-1
5.267729751E0,-2.091388255E-1,1.549108624E0,-7.256865501E-1
5.286644491E0,-2.372378111E-1,1.573542595E0,-8.160919547E-1
5.305559231E0,-2.567849159E-1,1.591257095E0,-9.034430981E-1
5.324473970E0,-2.628933787E-1,1.600419760E0,-9.840749502E-1
5.343388710E0,-2.573957741E-1,1.602252364E0,-1.059819937E0
5.362303449E0,-2.415137291E-1,1.596754789E0,-1.130067468E0
5.381218137E0,-2.146364599E-1,1.583316088E0,-1.192984700E0
5.400132876E0,-1.822615564E-1,1.563768983E0,-1.249182701E0
5.419047616E0,-1.486649513E-1,1.539945960E0,-1.299272060E0
5.437962356E0,-1.144575030E-1,1.508181930E0,-1.342642307E0
5.456877095E0,-8.513683826E-2,1.470309377E0,-1.380514860E0
5.475791835E0,-6.009209901E-2,1.423884988E0,-1.411668062E0
5.494706574E0,-4.237752780E-2,1.368908763E0,-1.437323570E0
5.513621314E0,-2.954973653E-2,1.304769754E0,-1.453816533E0
5.532536053E0,-2.283041552E-2,1.229635477E0,-1.455649018E0
5.551450793E0,-3.077143058E-2,1.139840961E0,-1.430604339E0
5.570365533E0,-4.176668078E-2,1.042716265E0,-1.393342614E0
5.589280272E0,-4.421006888E-2,9.474241138E-1,-1.359135151E0
